DATE,EMVMACROBUS,CPIAUCSL,EXPINF1YR,LNS12032195,UMCSENT
2009-01-01,0.17876,211.933,0.47357505,6019.0,61.2
2009-02-01,0.1925,212.705,0.38164688,6602.0,56.3
2009-03-01,0.17958,212.495,-0.48067803,6972.0,57.3
2009-04-01,0.27625,212.709,1.2289362,6755.0,65.1
2009-05-01,0.11837,213.022,1.2972457,6838.0,68.7
2009-06-01,0.0,214.79,1.2745119,6772.0,70.8
2009-07-01,0.10949,214.726,1.5522347,6902.0,66.0
2009-08-01,0.10952,215.445,2.0245319,6760.0,65.7
2009-09-01,0.20979,215.861,2.3608109,6494.0,73.5
2009-10-01,0.31943,216.509,1.6283633,6681.0,70.6
2009-11-01,0.11493,217.234,1.8070337,6610.0,67.4
2009-12-01,0.20215,217.347,1.7866037,6392.0,72.5
2010-01-01,0.35236,217.488,1.6957593,6036.0,74.4
2010-02-01,0.05547,217.281,1.7316171,6281.0,73.6
2010-03-01,0.05365,217.353,1.9701388,6362.0,73.6
2010-04-01,0.05695,217.403,1.587202,6330.0,72.2
2010-05-01,0.55079,217.29,1.562963,6168.0,73.6
2010-06-01,0.3409,217.199,1.3532178,6101.0,76.0
2010-07-01,0.28986,217.605,0.96279857,6122.0,67.8
2010-08-01,0.31893,217.923,1.3411201,6246.0,68.9
2010-09-01,0.15589,218.275,0.90713698,6419.0,68.2
2010-10-01,0.09925,219.035,1.3652619,5968.0,67.7
2010-11-01,0.51183,219.59,1.3962369,5962.0,71.6
2010-12-01,0.43904,220.472,1.4938723,6039.0,74.5
2011-01-01,0.34358,221.187,1.7900451,5827.0,74.2
2011-02-01,0.21823,221.898,1.9547432,5675.0,77.5
2011-03-01,0.11747,223.046,2.1063793,5810.0,67.5
2011-04-01,0.22166,224.093,2.0757372,5748.0,69.8
2011-05-01,0.23767,224.806,2.292302,5916.0,74.3
2011-06-01,0.11851,224.806,2.1177045,5668.0,71.5
2011-07-01,0.33523,225.395,2.432348,5598.0,63.7
2011-08-01,1.36789,226.106,1.5113148,5803.0,55.8
2011-09-01,0.38065,226.597,1.008876,5768.0,59.5
2011-10-01,0.48082,226.75,1.4656093,5718.0,60.8
2011-11-01,0.18169,227.169,1.5052488,5560.0,63.7
2011-12-01,0.13511,227.223,1.7116627,5399.0,69.9
2012-01-01,0.60438,227.842,1.4714419,5443.0,75.0
2012-02-01,0.21354,228.329,1.5014226,5489.0,75.3
2012-03-01,0.48967,228.807,1.3620536,5189.0,76.2
2012-04-01,0.11767,229.187,1.6869361,5181.0,76.4
2012-05-01,0.1337,228.713,1.5903147,5216.0,79.3
2012-06-01,0.41068,228.524,0.78930567,5296.0,73.2
2012-07-01,0.58809,228.59,1.2966497,5224.0,72.3
2012-08-01,0.30882,229.918,1.3700924,5238.0,74.3
2012-09-01,0.0,231.015,1.9315046,5555.0,78.3
2012-10-01,0.1119,231.638,1.6131067,5109.0,82.6
2012-11-01,0.54412,231.249,1.6632266,5108.0,82.7
2012-12-01,0.40792,231.221,2.1029068,4963.0,72.9
2013-01-01,0.72831,231.679,1.3155854,5205.0,73.8
2013-02-01,0.19654,232.937,1.3608065,5237.0,77.6
2013-03-01,0.21899,232.282,1.0049408,4932.0,78.6
2013-04-01,0.25229,231.797,1.4563149,5098.0,76.4
2013-05-01,0.0994,231.893,1.1780254,4866.0,84.5
2013-06-01,0.24405,232.445,1.3532103,5066.0,84.1
2013-07-01,0.41934,232.9,1.0030329,5058.0,85.1
2013-08-01,0.05156,233.456,1.797427,4734.0,82.1
2013-09-01,0.4001,233.544,2.202423,5009.0,77.5
2013-10-01,1.0034,233.669,1.5555239,5023.0,73.2
2013-11-01,0.39647,234.1,1.4505754,4893.0,75.1
2013-12-01,0.1708,234.719,1.9240314,4874.0,82.5
2014-01-01,0.34287,235.288,1.6382453,4471.0,81.2
2014-02-01,0.26646,235.547,1.5858281,4337.0,81.6
2014-03-01,0.11911,236.028,1.2194617,4448.0,80.0
2014-04-01,0.30609,236.468,1.653011,4506.0,84.1
2014-05-01,0.11696,236.918,1.76839,4419.0,81.9
2014-06-01,0.54557,237.231,1.5265458,4398.0,82.5
2014-07-01,0.17867,237.498,1.8594911,4535.0,81.8
2014-08-01,0.05561,237.46,1.8065541,4169.0,82.5
2014-09-01,0.0,237.477,2.1150395,4202.0,84.6
2014-10-01,0.12185,237.43,1.6022445,4279.0,86.9
2014-11-01,0.12866,236.983,1.321155,4112.0,88.8
2014-12-01,0.06081,236.252,2.1860996,4060.0,93.6
2015-01-01,0.74402,234.747,0.91604112,4028.0,98.1
2015-02-01,0.12186,235.342,0.38334206,3842.0,95.4
2015-03-01,0.11623,235.976,0.79843856,4043.0,93.0
2015-04-01,0.0,236.222,1.5899931,3864.0,95.9
2015-05-01,0.29142,237.001,1.7028274,3916.0,90.7
2015-06-01,0.11662,237.657,1.7750546,3799.0,96.1
2015-07-01,0.21427,238.034,1.8011251,3773.0,93.1
2015-08-01,1.23444,238.033,1.7247986,3752.0,91.9
2015-09-01,0.29327,237.498,1.92835583,3594.0,87.2
2015-10-01,0.13184,237.733,1.3119821,3360.0,90.0
2015-11-01,0.21094,238.017,1.3066673,3594.0,91.3
2015-12-01,0.22347,237.761,1.46795515,3587.0,92.6
2016-01-01,0.50688,237.652,1.47498776,3497.0,92
2016-02-01,0.9174,237.336,1.11589387,3543.0,91.7
2016-03-01,0.34453,238.08,0.78224551,3667.0,91
2016-04-01,0.29223,238.992,1.68966418,3747.0,89
2016-05-01,0.29125,239.557,1.66012215,3960.0,94.7
2016-06-01,0.38359,240.222,1.28116185,3405.0,93.5
2016-07-01,0.44788,240.101,1.64813436,3669.0,90
2016-08-01,0.30714,240.545,1.5900866,3691.0,89.8
2016-09-01,0.0,241.176,2.06443724,3597.0,91.2
2016-10-01,0.29737,241.741,1.74399736,3522.0,87.2
2016-11-01,0.11478,242.026,1.90220184,3487.0,93.8
2016-12-01,0.69831,242.637,2.2917332,3357.0,98.2
2017-01-01,0.41486,243.618,2.1027318,3526.0,98.5
2017-02-01,0.44212,244.006,1.94277371,3483.0,96.3
2017-03-01,0.6651,243.892,1.50314821,3390.0,96.9
2017-04-01,0.35497,244.193,1.71866969,3207.0,97
2017-05-01,0.38684,244.004,1.56480634,3096.0,97.1
2017-06-01,0.0,244.163,0.95868776,3319.0,95
2017-07-01,0.2208,244.243,1.71215951,3201.0,93.4
2017-08-01,0.47176,245.183,1.65217832,3318.0,96.8
2017-09-01,0.17242,246.435,2.05780237,3093.0,95.1
2017-10-01,0.08946,246.626,1.95269933,2963.0,100.7
2017-11-01,0.61453,247.284,2.06917502,2959.0,98.5
2017-12-01,0.81821,247.805,2.82407476,3072.0,95.9
2018-01-01,0.36036,248.859,1.9048938,2937.0,95.7
2018-02-01,0.49085,249.529,2.13804094,3282.0,99.7
2018-03-01,0.0,249.577,1.68874433,2987.0,101.4
2018-04-01,0.52005,250.227,1.84679022,3020.0,98.8
2018-05-01,0.38271,250.792,1.96778394,3024.0,98
2018-06-01,0.79303,251.018,1.59099529,3130.0,98.2
2018-07-01,0.5877,251.214,2.12308939,2895.0,97.9
2018-08-01,0.338,251.663,2.12845808,2619.0,96.2
2018-09-01,0.46224,252.182,2.41001454,2790.0,100.1
2018-10-01,1.06977,252.772,2.21216657,2800.0,98.6
2018-11-01,1.52087,252.594,2.16701625,2843.0,97.5
2018-12-01,1.9621,252.767,1.98107002,2873.0,98.3
2019-01-01,1.33096,252.561,1.8039584,3458.0,91.2
2019-02-01,0.1254,253.319,1.78943106,2749.0,93.8
2019-03-01,0.88387,254.277,1.37532429,2873.0,98.4
2019-04-01,1.088,255.233,2.0373803,2934.0,97.2
2019-05-01,0.75587,255.296,2.18513987,2643.0,100
2019-06-01,1.10714,255.213,1.60914045,2812.0,98.2
2019-07-01,1.36189,255.802,1.74765616,2378.0,98.4
2019-08-01,3.95173,256.036,1.71433646,2732.0,89.8
2019-09-01,0.58535,256.43,1.64492794,2567.0,93.2
2019-10-01,1.38185,257.155,1.72460183,2728.0,95.5
2019-11-01,1.50018,257.879,1.69729979,2602.0,96.8
2019-12-01,2.04638,258.63,1.70378442,2631.0,99.3
2020-01-01,0.52741,258.906,1.79710932,2627.0,99.8
2020-02-01,0.66969,259.246,1.64596366,2801.0,101
2020-03-01,1.63731,258.15,0.98707392,4083.0,89.1
2020-04-01,0.35154,256.126,-0.05035367,9995.0,71.8
2020-05-01,0.20901,255.848,-0.21879037,9522.0,72.3
2020-06-01,0.18618,257.004,0.51275711,8018.0,78.1
2020-07-01,0.15555,258.408,1.57200144,7271.0,72.5
2020-08-01,0.16303,259.366,1.67677177,6215.0,74.1
2020-09-01,0.30779,259.951,1.5827644,4859.0,80.4
2020-10-01,0.3439,260.249,1.39703767,5260.0,81.8
2020-11-01,0.45887,260.895,1.42002946,5221.0,76.9
2020-12-01,0.50881,262.005,1.64952129,4891.0,80.7
2021-01-01,0.0,262.518,1.4460926,4754.0,79
2021-02-01,0.0,263.583,1.67548668,4721.0,76.8
2021-03-01,0.0,264.91,1.51383809,4584.0,84.9
2021-04-01,0.16128,266.752,1.75471736,4018.0,88.3
2021-05-01,0.46012,268.452,1.86820734,3996.0,82.9
2021-06-01,0.0,270.664,2.05518859,3488.0,85.5
2021-07-01,0.12134,271.994,2.07311612,2988.0,81.2
2021-08-01,0.51687,272.789,2.46241259,3196.0,70.3
2021-09-01,0.0,273.887,2.68413713,3151.0,72.8
2021-10-01,0.0,276.434,1.85436755,3108.0,71.7
2021-11-01,0.0,278.799,2.4798405,2909.0,67.4
2021-12-01,0.0,280.808,2.62030861,2568.0,70.6
2022-01-01,0.0,282.39,2.24175848,2398.0,67.2
2022-02-01,0.0,284.535,2.62741883,2710.0,62.8
2022-03-01,0.53604,287.553,3.05769883,2845.0,59.4
2022-04-01,0.0,288.764,3.39290341,2652.0,65.2
2022-05-01,0.0,291.359,3.63465785,3011.0,58.4
2022-06-01,0.66283,294.996,4.22671337,2401.0,50
2022-07-01,0.79661,294.977,3.3092777,2717.0,51.5
2022-08-01,0.21756,295.209,3.37713165,2782.0,58.2
2022-09-01,0.36655,296.341,4.17914969,2584.0,58.6
2022-10-01,0.2898,297.863,2.88195932,2530.0,59.9
2022-11-01,0.54907,298.648,3.23904839,2552.0,56.7
2022-12-01,0.0,298.812,2.86811918,2643.0,59.8
2023-01-01,1.05738,300.356,2.6790161,2683.0,64.9
2023-02-01,0.0,301.509,2.61308946,2842.0,66.9
2023-03-01,0.1677,301.744,2.07325087,2853.0,62
2023-04-01,0.15942,303.032,2.65083257,2764.0,63.7
2023-05-01,0.16999,303.365,2.65363857,2588.0,59
2023-06-01,0.19217,304.003,1.36626254,2930.0,64.2
2023-07-01,0.34819,304.628,2.47431653,2734.0,71.5
2023-08-01,0.0,306.187,2.60696893,2821.0,69.4
2023-09-01,0.3764,307.288,2.81243484,2799.0,67.8
2023-10-01,0.0,307.531,2.76957367,2985.0,63.8
2023-11-01,0.0,308.024,2.7911957,2790.0,61.3
2023-12-01,0.0,308.742,3.09166499,2960.0,69.7
2024-01-01,0.53117,309.685,2.41863256,2994.0,79
2024-02-01,0.0,311.054,2.42832804,2863.0,76.9
2024-03-01,0.0,312.23,2.08221333,2972.0,79.4
2024-04-01,0.0,313.207,2.70436687,3058.0,77.2
2024-05-01,0.0,313.225,2.93566763,3086.0,69.1
2024-06-01,0.0,313.049,2.7258402,2832.0,68.2
2024-07-01,0.0,313.534,2.55564431,2985.0,66.4
2024-08-01,0.31524,314.121,2.3470594,3303.0,67.9
2024-09-01,0.44263,314.686,2.23612091,2999.0,70.1
2024-10-01,0.0,315.454,2.25612841,3023.0,70.5
